imagen,EAR
closed_eye_0002.jpg_face_2.jpg,0.108019
closed_eye_0003.jpg_face_2.jpg,0.062583
closed_eye_0007.jpg_face_1.jpg,0.032973
closed_eye_0013.BMP_face_1.jpg,0.100251
closed_eye_0015.jpg_face_1.jpg,0.044322
closed_eye_0019.jpg_face_1.jpg,0.028059
closed_eye_0030.jpg_face_2.jpg,0.057203
closed_eye_0032.jpg_face_1.jpg,0.03677
closed_eye_0033.jpg_face_2.jpg,0.103117
closed_eye_0053.jpg_face_3.jpg,0.068393
closed_eye_0059.jpg_face_2.jpg,0.10055
closed_eye_0060.jpg_face_1.jpg,0.047151
closed_eye_0068.jpg_face_1.jpg,0.047283
closed_eye_0077.jpg_face_1.jpg,0.062263
closed_eye_0086.jpg_face_2.jpg,0.055506
closed_eye_0091.jpg_face_1.jpg,0.050929
closed_eye_0093.jpg_face_1.jpg,0.078215
closed_eye_0095.jpg_face_1.jpg,0.054832
closed_eye_0097.jpg_face_4.jpg,0.02637
closed_eye_0105.jpg_face_2.jpg,0.07693
closed_eye_0139.jpg_face_1.jpg,0.065564
closed_eye_0142.jpg_face_1.jpg,0.039781
closed_eye_0151.jpg_face_1.jpg,0.052451
closed_eye_0151.jpg_face_2.jpg,0.038325
closed_eye_0161.jpg_face_1.jpg,0.086532
closed_eye_0162.jpg_face_1.jpg,0.03802
closed_eye_0165.jpg_face_2.jpg,0.092497
closed_eye_0168.jpg_face_1.jpg,0.063652
closed_eye_0171.jpg_face_1.jpg,0.032013
closed_eye_0178.jpg_face_1.jpg,0.135862
closed_eye_0183.jpg_face_1.jpg,0.041944
closed_eye_0185.jpg_face_1.jpg,0.027319
closed_eye_0186.jpg_face_1.jpg,No detectado
closed_eye_0189.jpg_face_1.jpg,0.1466
closed_eye_0191.jpg_face_1.jpg,0.094616
closed_eye_0192.jpg_face_1.jpg,0.061993
closed_eye_0195.jpg_face_1.jpg,0.071417
closed_eye_0209.jpg_face_1.jpg,0.068434
closed_eye_0212.jpg_face_1.jpg,0.02427
closed_eye_0228.jpg_face_2.jpg,0.05744
closed_eye_0238.jpg_face_2.jpg,0.057296
closed_eye_0241.jpg_face_1.jpg,0.078336
closed_eye_0243.jpg_face_1.jpg,0.087037
closed_eye_0243.jpg_face_2.jpg,0.065808
closed_eye_0248.jpg_face_1.jpg,0.088974
closed_eye_0249.JPG_face_1.jpg,0.081528
closed_eye_0251.jpg_face_1.jpg,0.114122
closed_eye_0260.jpg_face_1.jpg,0.037491
closed_eye_0261.jpg_face_1.jpg,0.037971
closed_eye_0271.jpg_face_1.jpg,0.046168
closed_eye_0272.jpg_face_1.jpg,0.068621
closed_eye_0276.jpg_face_2.jpg,No detectado
closed_eye_0282.jpg_face_1.jpg,0.098176
closed_eye_0296.jpg_face_3.jpg,0.06445
closed_eye_0312.jpg_face_2.jpg,0.057643
closed_eye_0334.BMP_face_1.jpg,0.080599
closed_eye_0335.jpg_face_1.jpg,0.137731
closed_eye_0341.jpg_face_2.jpg,0.108515
closed_eye_0342.jpg_face_2.jpg,0.047956
closed_eye_0344.jpg_face_2.jpg,0.08469
closed_eye_0346.jpg_face_1.jpg,0.087208
closed_eye_0353.jpg_face_1.jpg,0.052032
closed_eye_0360.jpg_face_1.jpg,0.088965
closed_eye_0361.jpg_face_3.jpg,0.051823
closed_eye_0365.jpg_face_2.jpg,0.067712
closed_eye_0372.jpg_face_5.jpg,0.024208
closed_eye_0382.jpg_face_1.jpg,0.035068
closed_eye_0386.jpg_face_1.jpg,0.173106
closed_eye_0402.jpg_face_1.jpg,0.058494
closed_eye_0406.jpg_face_1.jpg,0.05546
closed_eye_0411.jpg_face_1.jpg,0.039924
closed_eye_0421.jpg_face_1.jpg,0.105119
closed_eye_0423.jpg_face_1.jpg,0.029733
closed_eye_0424.jpg_face_1.jpg,0.054862
closed_eye_0427.jpg_face_1.jpg,0.024017
closed_eye_0441.jpg_face_1.jpg,0.038961
closed_eye_0460.jpg_face_1.jpg,0.197631
closed_eye_0466.jpg_face_1.jpg,0.022594
closed_eye_0476.jpg_face_1.jpg,0.08296
closed_eye_0481.jpg_face_1.jpg,0.093866
closed_eye_0486.jpg_face_2.jpg,0.085675
closed_eye_0492.jpg_face_1.jpg,0.095285
closed_eye_0493.jpg_face_1.jpg,0.067975
closed_eye_0501.jpg_face_2.jpg,0.041603
closed_eye_0503.jpg_face_1.jpg,0.063022
closed_eye_0505.jpg_face_1.jpg,0.09708
closed_eye_0523.jpg_face_2.jpg,0.056262
closed_eye_0539.jpg_face_1.jpg,0.062235
closed_eye_0544.jpg_face_1.jpg,0.101855
closed_eye_0548.jpg_face_1.jpg,0.100794
closed_eye_0557.jpg_face_1.jpg,0.056271
closed_eye_0559.jpg_face_1.jpg,0.072296
closed_eye_0565.jpg_face_1.jpg,0.073688
closed_eye_0566.jpg_face_1.jpg,0.10032
closed_eye_0593.jpg_face_1.jpg,0.208663
closed_eye_0597.jpg_face_2.jpg,0.053396
closed_eye_0602.jpg_face_1.jpg,0.107936
closed_eye_0603.jpg_face_1.jpg,0.054804
closed_eye_0607.jpg_face_1.jpg,0.047953
closed_eye_0619.jpg_face_1.jpg,0.10316
closed_eye_0622.jpg_face_1.jpg,0.111137
closed_eye_0625.jpg_face_2.jpg,0.049821
